|     x      |     y      |   c   |ubys |     z      | eq  | of  |
|  10101010  |  10101011  |  000  |  0  |  00000000  |  0  |  0  |
|  11001100  |  11001100  |  000  |  0  |  00000000  |  1  |  0  |
|  10010100  |  01010101  |  001  |  0  |  00010100  |  0  |  0  |
|  10010100  |  01010101  |  010  |  0  |  11010101  |  0  |  0  |
|  10010100  |  01010101  |  011  |  0  |  11000001  |  0  |  0  |
|  11001000  |  00010100  |  100  |  0  |  11011100  |  0  |  0  |
|  11001000  |  00010100  |  101  |  0  |  10110100  |  0  |  0  |
|  10001000  |  00000101  |  100  |  1  |  10001101  |  0  |  0  |
|  10001000  |  00000101  |  101  |  1  |  10000011  |  0  |  0  |
|  11110000  |  00000001  |  110  |  0  |  11110000  |  0  |  0  |
|  00000101  |  11111100  |  111  |  1  |  11101100  |  0  |  0  |
|  11111010  |  00001010  |  100  |  0  |  00000100  |  0  |  1  |
|  10001000  |  11110110  |  100  |  1  |  01111110  |  0  |  1  |
|  10001000  |  00001010  |  101  |  1  |  01111110  |  0  |  1  |
|  01000000  |  01100100  |  110  |  0  |  00000000  |  0  |  1  |
|  00110010  |  11001111  |  111  |  1  |  01101110  |  0  |  1  |
