|        x         |        y         |zx |nx |zy |ny | f |no |       out        |zr |ng |
| 0000000000110111 | 0000000000101000 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 0000000000110111 | 0000000000101000 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0000000000110111 | 0000000000101000 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000110111 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 1 | 1 | 0 | 0 | 0 | 0 | 0000000000101000 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111001000 | 0 | 1 |
| 0000000000110111 | 0000000000101000 | 1 | 1 | 0 | 0 | 0 | 1 | 1111111111010111 | 0 | 1 |
| 0000000000110111 | 0000000000101000 | 0 | 0 | 1 | 1 | 1 | 1 | 1111111111001001 | 0 | 1 |
| 0000000000110111 | 0000000000101000 | 1 | 1 | 0 | 0 | 1 | 1 | 1111111111011000 | 0 | 1 |
| 0000000000110111 | 0000000000101000 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000111000 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 1 | 1 | 0 | 1 | 1 | 1 | 0000000000101001 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 0 | 0 | 1 | 1 | 1 | 0 | 0000000000110110 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 1 | 1 | 0 | 0 | 1 | 0 | 0000000000100111 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000001011111 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000001111 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111110001 | 0 | 1 |
| 0000000000110111 | 0000000000101000 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000100000 | 0 | 0 |
| 0000000000110111 | 0000000000101000 | 0 | 1 | 0 | 1 | 0 | 1 | 0000000000111111 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 1 | 0 | 1 | 0 | 1 | 0 | 0000000000000000 | 1 | 0 |
| 0000000000010010 | 1111111111110110 | 1 | 1 | 1 | 1 | 1 | 1 | 0000000000000001 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 1 | 1 | 1 | 0 | 1 | 0 | 1111111111111111 | 0 | 1 |
| 0000000000010010 | 1111111111110110 | 0 | 0 | 1 | 1 | 0 | 0 | 0000000000010010 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 1 | 1 | 0 | 0 | 0 | 0 | 1111111111110110 | 0 | 1 |
| 0000000000010010 | 1111111111110110 | 0 | 0 | 1 | 1 | 0 | 1 | 1111111111101101 | 0 | 1 |
| 0000000000010010 | 1111111111110110 | 1 | 1 | 0 | 0 | 0 | 1 | 0000000000001001 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 0 | 0 | 1 | 1 | 1 | 1 | 1111111111101110 | 0 | 1 |
| 0000000000010010 | 1111111111110110 | 1 | 1 | 0 | 0 | 1 | 1 | 0000000000001010 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 0 | 1 | 1 | 1 | 1 | 1 | 0000000000010011 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 1 | 1 | 0 | 1 | 1 | 1 | 1111111111110111 | 0 | 1 |
| 0000000000010010 | 1111111111110110 | 0 | 0 | 1 | 1 | 1 | 0 | 0000000000010001 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 1 | 1 | 0 | 0 | 1 | 0 | 1111111111110101 | 0 | 1 |
| 0000000000010010 | 1111111111110110 | 0 | 0 | 0 | 0 | 1 | 0 | 0000000000001000 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 0 | 1 | 0 | 0 | 1 | 1 | 0000000000011100 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 0 | 0 | 0 | 1 | 1 | 1 | 1111111111100100 | 0 | 1 |
| 0000000000010010 | 1111111111110110 | 0 | 0 | 0 | 0 | 0 | 0 | 0000000000010010 | 0 | 0 |
| 0000000000010010 | 1111111111110110 | 0 | 1 | 0 | 1 | 0 | 1 | 1111111111110110 | 0 | 1 |
